id,sequence,name,auto_apply,country_id,country_group_id,tax_ids/tax_src_id,tax_ids/tax_dest_id
ni_fp_national,1,Nacional,1,base.ni,,,
ni_fp_export,2,Exportación,1,,,ni_iva,ni_iva_export
